,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,TEAM_ABBREVIATION,WL,PTDIFF
2312,2018-04-03T00:00:00,2,0021701157,1610612751,Brooklyn,25-53,22.0,27.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.42,0.435,0.405,20.0,36.0,18.0,240:00,0.525,0.284,0.17,0.059000000000000004,0.599,0.198,0.098,0.175,BKN,l,-26.0
2313,2018-04-03T00:00:00,2,0021701157,1610612755,Philadelphia,47-30,28.0,33.0,32.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.5489999999999999,0.667,0.429,28.0,55.0,10.0,240:00,0.599,0.198,0.098,0.175,0.525,0.284,0.17,0.059000000000000004,PHI,w,26.0
1924,2018-03-06T00:00:00,8,0021700964,1610612740,New Orleans,37-26,35.0,32.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.447,0.889,0.433,39.0,51.0,8.0,240:00,0.51,0.175,0.073,0.161,0.5,0.263,0.115,0.192,NOP,w,5.0
1925,2018-03-06T00:00:00,8,0021700964,1610612746,LA,34-29,27.0,25.0,30.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.465,0.654,0.259,25.0,57.0,13.0,240:00,0.5,0.263,0.115,0.192,0.51,0.175,0.073,0.161,LAC,l,-5.0
2300,2018-04-01T00:00:00,9,0021701151,1610612762,Utah,44-33,28.0,33.0,26.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.605,0.72,0.39299999999999996,29.0,45.0,16.0,240:00,0.6779999999999999,0.32899999999999996,0.17300000000000001,0.19399999999999998,0.467,0.156,0.136,0.152,UTA,w,24.0
2301,2018-04-01T00:00:00,9,0021701151,1610612750,Minnesota,44-34,26.0,24.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.42200000000000004,0.929,0.33299999999999996,19.0,32.0,12.0,240:00,0.467,0.156,0.136,0.152,0.6779999999999999,0.32899999999999996,0.17300000000000001,0.19399999999999998,MIN,l,-24.0
2298,2018-04-01T00:00:00,8,0021701150,1610612760,Oklahoma City,45-33,20.0,33.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.43200000000000005,0.72,0.29,24.0,51.0,18.0,240:00,0.479,0.263,0.16399999999999998,0.275,0.524,0.27699999999999997,0.196,0.159,OKC,w,5.0
2299,2018-04-01T00:00:00,8,0021701150,1610612740,New Orleans,43-34,28.0,22.0,25.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.45799999999999996,0.7390000000000001,0.344,28.0,44.0,21.0,240:00,0.524,0.27699999999999997,0.196,0.159,0.479,0.263,0.16399999999999998,0.275,NOP,l,-5.0
2304,2018-04-01T00:00:00,11,0021701153,1610612756,Phoenix,19-59,24.0,35.0,18.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.456,0.875,0.355,26.0,42.0,15.0,240:00,0.517,0.17800000000000002,0.146,0.191,0.612,0.10099999999999999,0.149,0.175,PHX,l,-10.0
2305,2018-04-01T00:00:00,11,0021701153,1610612744,Golden State,56-21,22.0,36.0,36.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.539,0.889,0.46399999999999997,31.0,45.0,14.0,240:00,0.612,0.10099999999999999,0.149,0.175,0.517,0.17800000000000002,0.146,0.191,GSW,w,10.0
2302,2018-04-01T00:00:00,10,0021701152,1610612749,Milwaukee,41-36,34.0,20.0,38.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.45,0.852,0.364,27.0,45.0,9.0,265:00,0.51,0.27,0.08199999999999999,0.21600000000000003,0.506,0.511,0.154,0.33299999999999996,MIL,l,-3.0
